Date Time,Event,Ticker,Expected,Actual,Surprise,Prior
03/12/2024 12:30,CPI MoM,CPI_MoM,0.40%,0.40%,0,0.30%
03/20/24 18:00,FOMC Rate Decision (Upper Bound),INTR,5.50%,5.50%,0,5.50%
03/28/24 12:30,GDP Annualized QoQ,GDP_QoQ,3.20%,3.40%,2.12,3.20%
03/29/24 12:30,PCE Price Index MoM,PCE_MoM,0.40%,0.30%,-2.24,0.30%
04/05/2024 13:30,Unemployment Rate,UNRATE,3.80%,3.80%,0,3.90%
04/10/2024 13:30,CPI MoM,CPI_MoM,0.30%,0.40%,1.79,0.40%
04/25/24 13:30,GDP Annualized QoQ,GDP_QoQ,2.50%,1.60%,-2.88,3.40%
04/26/24 13:30,PCE Price Index MoM,PCE_MoM,0.30%,0.30%,0,0.30%
05/01/2024 19:00,FOMC Rate Decision (Upper Bound),INTR,5.50%,5.50%,0,5.50%
05/03/2024 13:30,Unemployment Rate,UNRATE,3.80%,3.90%,1.99,3.80%
05/15/24 13:30,CPI MoM,CPI_MoM,0.40%,0.30%,-2.15,0.40%
05/30/24 13:30,GDP Annualized QoQ,GDP_QoQ,1.30%,1.30%,0,1.60%
05/31/24 13:30,PCE Price Index MoM,PCE_MoM,0.30%,0.30%,0,0.30%
06/07/2024 13:30,Unemployment Rate,UNRATE,3.90%,4.00%,2.26,3.90%
06/12/2024 13:30,CPI MoM,CPI_MoM,0.10%,0.00%,-2.34,0.30%
06/12/2024 19:00,FOMC Rate Decision (Upper Bound),INTR,5.50%,5.50%,0,5.50%
06/27/24 13:30,GDP Annualized QoQ,GDP_QoQ,1.40%,1.40%,0,1.30%
06/28/24 13:30,PCE Price Index MoM,PCE_MoM,0.00%,0.00%,0,0.30%
07/05/2024 13:30,Unemployment Rate,UNRATE,4.00%,4.10%,1.84,4.00%
07/11/2024 13:30,CPI MoM,CPI_MoM,0.10%,-0.10%,-4.18,0.00%
07/25/24 13:30,GDP Annualized QoQ,GDP_QoQ,2.00%,2.80%,2.17,1.40%
07/26/24 13:30,PCE Price Index MoM,PCE_MoM,0.10%,0.10%,0.39,0.00%
07/31/24 19:00,FOMC Rate Decision (Upper Bound),INTR,5.50%,5.50%,0,5.50%
08/02/2024 13:30,Unemployment Rate,UNRATE,4.10%,4.30%,4.96,4.10%
08/14/24 13:30,CPI MoM,CPI_MoM,0.20%,0.20%,0,-0.10%
08/29/24 13:30,GDP Annualized QoQ,GDP_QoQ,2.80%,3.00%,1.8,2.80%
08/30/24 13:30,PCE Price Index MoM,PCE_MoM,0.20%,0.20%,0,0.10%
09/06/2024 13:30,Unemployment Rate,UNRATE,4.20%,4.20%,0,4.30%
09/11/2024 13:30,CPI MoM,CPI_MoM,0.20%,0.20%,0.29,0.20%
09/18/24 19:00,FOMC Rate Decision (Upper Bound),INTR,5.25%,5.00%,-3.46,5.50%
09/26/24 13:30,GDP Annualized QoQ,GDP_QoQ,2.90%,3.00%,1.16,3.00%
09/27/24 13:30,PCE Price Index MoM,PCE_MoM,0.10%,0.10%,0,0.20%
10/04/2024 13:30,Unemployment Rate,UNRATE,4.20%,4.10%,-1.9,4.20%
10/10/2024 13:30,CPI MoM,CPI_MoM,0.10%,0.20%,2.86,0.20%
10/30/24 12:30,GDP Annualized QoQ,GDP_QoQ,2.90%,2.80%,-0.3,3.00%
10/31/24 12:30,PCE Price Index MoM,PCE_MoM,0.20%,0.20%,0,0.10%
11/01/2024 12:30,Unemployment Rate,UNRATE,4.10%,4.10%,0,4.10%
11/07/2024 19:00,FOMC Rate Decision (Upper Bound),INTR,4.75%,4.75%,0,5.00%
11/13/24 13:30,CPI MoM,CPI_MoM,0.20%,0.20%,0,0.20%
11/27/24 13:30,GDP Annualized QoQ,GDP_QoQ,2.80%,2.80%,0,2.80%
11/27/24 15:00,PCE Price Index MoM,PCE_MoM,0.20%,0.20%,0,0.20%
12/06/2024 13:30,Unemployment Rate,UNRATE,4.10%,4.20%,1.14,4.10%
12/11/2024 13:30,CPI MoM,CPI_MoM,0.30%,0.30%,0.44,0.20%
12/18/24 19:00,FOMC Rate Decision (Upper Bound),INTR,4.50%,4.50%,0,4.75%
12/19/24 13:30,GDP Annualized QoQ,GDP_QoQ,2.80%,3.10%,3.43,2.80%
12/20/24 13:30,PCE Price Index MoM,PCE_MoM,0.20%,0.10%,-2.29,0.20%
01/10/2025 13:30,Unemployment Rate,UNRATE,4.20%,4.10%,-1.7,4.20%
01/15/25 13:30,CPI MoM,CPI_MoM,0.40%,0.40%,0,0.30%
01/29/25 19:00,FOMC Rate Decision (Upper Bound),INTR,4.50%,4.50%,0,4.50%
01/30/25 13:30,GDP Annualized QoQ,GDP_QoQ,2.60%,2.30%,-0.7,3.10%
01/31/25 13:30,PCE Price Index MoM,PCE_MoM,0.30%,0.30%,0,0.10%
02/07/2025 13:30,Unemployment Rate,UNRATE,4.10%,4.10%,0,4.10%
02/12/2025 13:30,CPI MoM,CPI_MoM,0.30%,0.50%,0.4,0.40%
02/27/25 13:30,GDP Annualized QoQ,GDP_QoQ,--,--,--,2.30%
02/28/25 13:30,PCE Price Index MoM,PCE_MoM,--,--,--,0.30%
03/07/2025 13:30,Unemployment Rate,UNRATE,--,--,--,--
03/12/2025 12:30,CPI MoM,CPI_MoM,--,--,--,--
03/19/25 18:00,FOMC Rate Decision (Upper Bound),INTR,--,--,--,4.50%
03/27/25 12:30,GDP Annualized QoQ,GDP_QoQ,--,--,--,--
03/28/25 12:30,PCE Price Index MoM,PCE_MoM,--,--,--,--
04/04/2025 13:30,Unemployment Rate,UNRATE,--,--,--,--
04/10/2025 13:30,CPI MoM,CPI_MoM,--,--,--,--
04/30/25 13:30,GDP Annualized QoQ,GDP_QoQ,--,--,--,--
04/30/25 15:00,PCE Price Index MoM,PCE_MoM,--,--,--,--
05/02/2025 13:30,Unemployment Rate,UNRATE,--,--,--,--
05/07/2025 19:00,FOMC Rate Decision (Upper Bound),INTR,--,--,--,--
05/13/25 13:30,CPI MoM,CPI_MoM,--,--,--,--
05/29/25 13:30,GDP Annualized QoQ,GDP_QoQ,--,--,--,--
05/30/25 13:30,PCE Price Index MoM,PCE_MoM,--,--,--,--
06/06/2025 13:30,Unemployment Rate,UNRATE,--,--,--,--
06/11/2025 13:30,CPI MoM,CPI_MoM,--,--,--,--
06/18/25 19:00,FOMC Rate Decision (Upper Bound),INTR,--,--,--,--
06/26/25 13:30,GDP Annualized QoQ,GDP_QoQ,--,--,--,--
06/27/25 13:30,PCE Price Index MoM,PCE_MoM,--,--,--,--
07/03/2025 13:30,Unemployment Rate,UNRATE,--,--,--,--
07/15/25 13:30,CPI MoM,CPI_MoM,--,--,--,--
07/30/25 13:30,GDP Annualized QoQ,GDP_QoQ,--,--,--,--
07/30/25 19:00,FOMC Rate Decision (Upper Bound),INTR,--,--,--,--
07/31/25 13:30,PCE Price Index MoM,PCE_MoM,--,--,--,--
08/01/2025 13:30,Unemployment Rate,UNRATE,--,--,--,--
08/12/2025 13:30,CPI MoM,CPI_MoM,--,--,--,--
08/28/25 13:30,GDP Annualized QoQ,GDP_QoQ,--,--,--,--
08/29/25 13:30,PCE Price Index MoM,PCE_MoM,--,--,--,--
03/01/2022 14:45,S&P Global US Manufacturing PMI,PMI,57.5,57.3,-0.38,--
04/01/2022 14:45,S&P Global US Manufacturing PMI,PMI,58.5,58.8,0.57,57.3
05/02/2022 14:45,S&P Global US Manufacturing PMI,PMI,59.7,59.2,-4.45,58.8
06/01/2022 14:45,S&P Global US Manufacturing PMI,PMI,57.5,57,-2.91,59.2
07/01/2022 14:45,S&P Global US Manufacturing PMI,PMI,52.4,52.7,1.94,57
08/01/2022 14:45,S&P Global US Manufacturing PMI,PMI,52.3,52.2,-0.76,52.7
09/01/2022 14:45,S&P Global US Manufacturing PMI,PMI,51.3,51.5,1.09,52.2
10/03/2022 14:45,S&P Global US Manufacturing PMI,PMI,51.8,52,1.02,51.5
01/03/2023 14:45,S&P Global US Manufacturing PMI,PMI,46.2,46.2,--,47.7
02/01/2023 14:45,S&P Global US Manufacturing PMI,PMI,46.8,46.9,1.56,46.2
03/01/2023 14:45,S&P Global US Manufacturing PMI,PMI,47.8,47.3,-6.03,46.9
04/03/2023 14:45,S&P Global US Manufacturing PMI,PMI,49.3,49.2,-1.12,47.3
05/01/2023 14:45,S&P Global US Manufacturing PMI,PMI,50.4,50.2,-1.34,49.2
06/01/2023 14:45,S&P Global US Manufacturing PMI,PMI,48.5,48.4,-1.68,50.2
07/03/2023 14:45,S&P Global US Manufacturing PMI,PMI,46.3,46.3,0,48.4
08/01/2023 14:45,S&P Global US Manufacturing PMI,PMI,49,49,0,46.3
09/01/2023 14:45,S&P Global US Manufacturing PMI,PMI,47,47.9,3.35,49
10/02/2023 14:45,S&P Global US Manufacturing PMI,PMI,48.9,49.8,15.28,47.9
11/01/2023 13:45,S&P Global US Manufacturing PMI,PMI,50,50,0,49.8
12/01/2023 14:45,S&P Global US Manufacturing PMI,PMI,49.5,49.4,-0.09,50
01/02/2024 14:45,S&P Global US Manufacturing PMI,PMI,48.3,47.9,-0.96,49.4
02/01/2024 14:45,S&P Global US Manufacturing PMI,PMI,50.3,50.7,3.98,47.9
03/01/2024 14:45,S&P Global US Manufacturing PMI,PMI,51.5,52.2,2.82,50.7
04/01/2024 14:45,S&P Global US Manufacturing PMI,PMI,52.5,51.9,-3.74,52.2
05/01/2024 14:45,S&P Global US Manufacturing PMI,PMI,49.9,50,0.31,51.9
06/03/2024 14:45,S&P Global US Manufacturing PMI,PMI,50.9,51.3,2.82,50
07/01/2024 14:45,S&P Global US Manufacturing PMI,PMI,51.7,51.6,-0.82,51.3
08/01/2024 14:45,S&P Global US Manufacturing PMI,PMI,49.6,49.6,0.07,51.6
09/03/2024 14:45,S&P Global US Manufacturing PMI,PMI,48,47.9,-1.25,49.6
10/01/2024 14:45,S&P Global US Manufacturing PMI,PMI,47,47.3,1.57,47.9
11/01/2024 13:45,S&P Global US Manufacturing PMI,PMI,47.8,48.5,4.83,47.3
12/02/2024 14:45,S&P Global US Manufacturing PMI,PMI,48.8,49.7,5.27,48.5
01/02/2025 14:45,S&P Global US Manufacturing PMI,PMI,48.3,49.4,2.91,49.7
