Date Time,Event,Ticker,Expected,Actual,Surprise,Prior
11/24/21 13:30,GDP Annualized QoQ,GDP_QoQ,2.20%,2.10%,-0.78,2.00%
11/24/21 15:00,PCE Price Index MoM,PCE_MoM,0.70%,0.60%,-1.59,0.30%
12/03/2021 13:30,Unemployment Rate,UNRATE,4.50%,4.20%,-4.54,4.60%
12/10/2021 13:30,CPI MoM,CPI_MoM,0.70%,0.80%,0.79,0.90%
12/15/21 19:00,FOMC Rate Decision (Upper Bound),INTR,0.25%,0.25%,0,0.25%
12/22/21 13:30,GDP Annualized QoQ,GDP_QoQ,2.10%,2.30%,3.25,2.10%
12/23/21 13:30,PCE Price Index MoM,PCE_MoM,0.60%,0.60%,0,0.60%
01/07/2022 13:30,Unemployment Rate,UNRATE,4.10%,3.90%,-2.67,4.20%
01/12/2022 13:30,CPI MoM,CPI_MoM,0.40%,0.50%,1.2,0.80%
01/26/22 19:00,FOMC Rate Decision (Upper Bound),INTR,0.25%,0.25%,0,0.25%
01/27/22 13:30,GDP Annualized QoQ,GDP_QoQ,5.50%,6.90%,1.64,2.30%
01/28/22 13:30,PCE Price Index MoM,PCE_MoM,0.40%,0.40%,0,0.60%
02/04/2022 13:30,Unemployment Rate,UNRATE,3.90%,4.00%,1.12,3.90%
02/10/2022 13:30,CPI MoM,CPI_MoM,0.40%,0.60%,2.19,0.50%
02/24/22 13:30,GDP Annualized QoQ,GDP_QoQ,7.00%,7.00%,0,6.90%
02/25/22 13:30,PCE Price Index MoM,PCE_MoM,0.60%,0.60%,0,0.40%
03/04/2022 13:30,Unemployment Rate,UNRATE,3.90%,3.80%,-1.33,4.00%
03/10/2022 13:30,CPI MoM,CPI_MoM,0.80%,0.80%,0,0.60%
03/16/22 18:00,FOMC Rate Decision (Upper Bound),INTR,0.50%,0.50%,0,0.25%
03/30/22 13:30,GDP Annualized QoQ,GDP_QoQ,7.00%,6.90%,-1.38,7.00%
03/31/22 13:30,PCE Price Index MoM,PCE_MoM,0.60%,0.60%,0,0.60%
04/01/2022 13:30,Unemployment Rate,UNRATE,3.70%,3.60%,-1.15,3.80%
04/12/2022 13:30,CPI MoM,CPI_MoM,1.20%,1.20%,0,0.80%
04/28/22 13:30,GDP Annualized QoQ,GDP_QoQ,1.00%,-1.40%,-3.4,6.90%
04/29/22 13:30,PCE Price Index MoM,PCE_MoM,0.90%,0.90%,0,0.60%
05/04/2022 19:00,FOMC Rate Decision (Upper Bound),INTR,1.00%,1.00%,0,0.50%
05/06/2022 13:30,Unemployment Rate,UNRATE,3.50%,3.60%,1.69,3.60%
05/11/2022 13:30,CPI MoM,CPI_MoM,0.20%,0.30%,1.05,1.20%
05/26/22 13:30,GDP Annualized QoQ,GDP_QoQ,-1.30%,-1.50%,-1.79,-1.40%
